"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",NA,NA,NA,NA,NA,NA
"2004",NA,NA,NA,NA,NA,NA
"2005",NA,NA,NA,NA,NA,NA
"2006",NA,NA,NA,NA,NA,NA
"2007",2,0,0,0,0,0
"2008",NA,NA,NA,NA,NA,NA
"2009",NA,NA,NA,NA,NA,NA
"2010",1,1,0,0,0,0
"2011",NA,NA,NA,NA,NA,NA
"2012",NA,NA,NA,NA,NA,NA
"2013",NA,NA,NA,NA,NA,NA
"2014",NA,NA,NA,NA,NA,NA
"2015",NA,NA,NA,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA
"2017",NA,NA,NA,NA,NA,NA
"2018",NA,NA,NA,NA,NA,NA
"2019",NA,NA,NA,NA,NA,NA
"2021",NA,NA,NA,NA,NA,NA
"2022",NA,NA,NA,NA,NA,NA
"2023",NA,NA,NA,NA,NA,NA
"2024",NA,NA,NA,NA,NA,NA
