Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,822,0,0,0,0,0,0,0,0,0,0,0,0
2004,669,0,0,0,0,0,0,0,0,0,0,0,0
2005,888,0,0,0,0,0,0,0,0,0,0,0,0
2006,876,0,0,0,0,0,0,0,0,0,0,0,0
2007,996,0,0,0,0,0,0,0,0,0,0,0,0
2008,894,0,0,0,0,0,0,0,0,0,0,0,0
2009,876,0,0,0,0,0,0,0,0,0,0,0,0
2010,900,0,0,0,0,0,0,0,0,0,0,0,0
2011,942,0,0,0,0,0,0,0,0,0,0,0,0
2012,918,0,0,0,0,0,0,0,0,0,0,0,0
2013,660,0,0,0,0,0,0,0,0,0,0,0,0
2014,933,0,0,0,0,0,0,0,0,0,0,0,0
2015,849,0,0,0,0,0,0,0,0,0,0,0,0
2016,927,0,0,0,0,0,0,0,0,0,0,0,0
2017,963,0,0,0,0,0,0,0,0,0,0,0,0
2018,915,0,0,0,0,0,0,0,0,0,0,0,0
2019,483,0,0,0,0,0,0,0,0,0,0,0,0
2021,906,0,0,0,0,0,0,0,0,0,0,0,0
2022,825,0,0,0,0,0,0,0,0,0,0,0,0
2023,891,0,0,0,0,0,0,0,0,0,0,0,0
2024,930,0,0,0,0,0,0,0,0,0,0,0,0
2025,942,0,0,0,0,0,0,0,0,0,0,0,0
Average across years,864,0,0,0,0,0,0,0,0,0,0,0,0
