"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003089",6,0,0,0,0,0
"200303008025",2,0,0,0,0,0
"200403008110",5,0,0,0,0,0
"200403008121",1,0,0,0,0,0
"200403008129",7,0,0,0,0,0
"200403015065",4,0,0,0,0,0
"200403015093",1,0,0,0,0,0
"200503008203",2,0,0,0,0,0
"200503010033",2,0,0,0,0,0
"200503017028",4,0,0,0,0,0
"200503017131",10,0,0,0,0,0
"200503017136",15,0,0,0,0,0
"200503017140",16,0,0,0,0,0
"200603008024",0,0,0,0,0,0
"200603010013",0,0,0,0,0,0
"200603010090",0,0,0,0,0,0
"200603010095",0,0,0,0,0,0
"200603018074",0,0,0,0,0,0
"200603018132",0,0,0,0,0,0
"200703008064",0,0,0,0,0,0
"200703008183",0,0,0,0,0,0
"200703010045",1,0,0,0,0,0
"200703010093",4,0,0,0,0,0
"200703010094",2,0,0,0,0,0
"200703010112",1,0,0,0,0,0
"200703017159",2,0,0,0,0,0
"200703018027",0,0,0,0,0,0
"200703018028",0,0,0,0,0,0
"200703018101",0,0,0,0,0,0
"200703018113",0,0,0,0,0,0
"200803008003",3,0,0,0,0,0
"200803008005",1,0,0,0,0,0
"200803008095",7,0,0,0,0,0
"200803017048",2,0,0,0,0,0
"200803017151",14,0,0,0,0,0
"200803017157",1,0,0,0,0,0
"200803017160",1,0,0,0,0,0
"200803018013",24,0,0,0,0,0
"200903008130",3,0,0,0,0,0
"200903010119",17,0,0,0,0,0
"200903018134",3,0,0,0,0,0
"200903018155",27,0,0,0,0,0
"201003010178",1,0,0,0,0,0
"201003018105",4,0,0,0,0,0
"201003018139",17,0,0,0,0,0
"201103010123",6,2,0,0,0,0
"201203008010",8,1,0,0,0,0
"201203010155",1,1,0,0,0,0
"201303017132",4,0,0,0,0,0
"201303020148",1,0,0,0,0,0
"202103010045",1,1,0,0,0,0
"202103020021",5,1,0,0,0,0
"202403017149",1,1,0,0,0,0
