"trawl_id","year","performance","station_invalid","reason_station_invalid"
"201203010155",2012,"Unsatisfactory","good_station",NA
"201203017160",2012,"Unsatisfactory","good_station",NA
"200303008154",2003,"Unsatisfactory","good_station",NA
"200303006070",2003,"Unsatisfactory","good_station",NA
"200303006111",2003,"Satisfactory","good_station",NA
"200303008078",2003,"Unsatisfactory","good_station",NA
"200303008092",2003,"Satisfactory","good_station",NA
"200303010119",2003,"Satisfactory","good_station",NA
"201403010126",2014,"Unsatisfactory","good_station",NA
"200403008067",2004,"Satisfactory","good_station",NA
"200703010014",2007,"Unsatisfactory","good_station",NA
"200903010011",2009,"Unsatisfactory","good_station",NA
"200503008135",2005,"Unsatisfactory","good_station",NA
"200503008143",2005,"Unsatisfactory","9498","Outside Survey Extent"
"200503008205",2005,"Satisfactory","good_station",NA
"200503010013",2005,"Satisfactory","good_station",NA
"200503010038",2005,"Satisfactory","good_station",NA
"200503010065",2005,"Satisfactory","good_station",NA
"200503010116",2005,"Satisfactory","good_station",NA
"200503010162",2005,"Satisfactory","good_station",NA
"200803010014",2008,"Unsatisfactory","good_station",NA
"200403008181",2004,"Unsatisfactory","good_station",NA
"200503008142",2005,"Unsatisfactory","9498","Outside Survey Extent"
"200503008197",2005,"Unsatisfactory","good_station",NA
"200503010016",2005,"Unsatisfactory","238428","Untrawlable Due to Bad Bottom"
"200503010026",2005,"Unsatisfactory","good_station",NA
"201003010024",2010,"Unsatisfactory","good_station",NA
"200603017169",2006,"Satisfactory","good_station",NA
"200603018048",2006,"Satisfactory","good_station",NA
"201103010005",2011,"Unsatisfactory","good_station",NA
"200703017154",2007,"Satisfactory","good_station",NA
"200603018123",2006,"Unsatisfactory","good_station",NA
"200803008095",2008,"Unsatisfactory","good_station",NA
"200803008171",2008,"Unsatisfactory","238428","Untrawlable Due to Bad Bottom"
"201203017129",2012,"Unsatisfactory","29742","ONMS Permit Exclusion"
"201303017079",2013,"Unsatisfactory","good_station",NA
"200803018123",2008,"Satisfactory","good_station",NA
"200903008133",2009,"Unsatisfactory","good_station",NA
"200903008169",2009,"Unsatisfactory","good_station",NA
"200903008177",2009,"Unsatisfactory","good_station",NA
"200903010044",2009,"Unsatisfactory","good_station",NA
"200903010069",2009,"Unsatisfactory","good_station",NA
"201403010017",2014,"Satisfactory","good_station",NA
"201003017161",2010,"Unsatisfactory","good_station",NA
"201003010162",2010,"Unsatisfactory","238428","Untrawlable Due to Bad Bottom"
"201003010178",2010,"Unsatisfactory","good_station",NA
"201003017169",2010,"Satisfactory","good_station",NA
"201103008155",2011,"Unsatisfactory","good_station",NA
"201103010043",2011,"Unsatisfactory","good_station",NA
"201103017037",2011,"Unsatisfactory","good_station",NA
"201103018020",2011,"Unsatisfactory","good_station",NA
"201203008010",2012,"Unsatisfactory","good_station",NA
"201203008088",2012,"Satisfactory","good_station",NA
"201403020144",2014,"Unsatisfactory","good_station",NA
"200703008159",2007,"Unsatisfactory","good_station",NA
"200903008095",2009,"Unsatisfactory","good_station",NA
"201403010145",2014,"Unsatisfactory","238428","Untrawlable Due to Bad Bottom"
"200303003143",2003,"Unsatisfactory","238428","Untrawlable Due to Bad Bottom"
"201203017358",2012,"Satisfactory","good_station",NA
"201203008016",2012,"Unsatisfactory","good_station",NA
"201303017048",2013,"Satisfactory","good_station",NA
"200303010015",2003,"Unsatisfactory","30485","Untrawlable Due to Bad Bottom"
"201303020045",2013,"Satisfactory","good_station",NA
"201303020166",2013,"Satisfactory","good_station",NA
"201303020180",2013,"Unsatisfactory","good_station",NA
"201403008020",2014,"Satisfactory","good_station",NA
"200603010160",2006,"Unsatisfactory","good_station",NA
"201403017140",2014,"Satisfactory","good_station",NA
"201403020030",2014,"Unsatisfactory","good_station",NA
"201503008181",2015,"Unsatisfactory","30485","Untrawlable Due to Bad Bottom"
"201503010145",2015,"Unsatisfactory","good_station",NA
"200503017012",2005,"Unsatisfactory","good_station",NA
"201503017096",2015,"Satisfactory","good_station",NA
"201503017182",2015,"Unsatisfactory","good_station",NA
"201503020011",2015,"Unsatisfactory","good_station",NA
"200503017036",2005,"Unsatisfactory","good_station",NA
"201503020148",2015,"Unsatisfactory","good_station",NA
"201403008021",2014,"Satisfactory","good_station",NA
"201403008022",2014,"Satisfactory","good_station",NA
"200303003001",2003,"Satisfactory","good_station",NA
"200303003002",2003,"Satisfactory","good_station",NA
"200303003003",2003,"Satisfactory","good_station",NA
"200303003004",2003,"Satisfactory","good_station",NA
"200303003005",2003,"Satisfactory","good_station",NA
"200303003006",2003,"Satisfactory","good_station",NA
"200303003007",2003,"Satisfactory","9498","Outside Survey Extent"
"200303003008",2003,"Satisfactory","good_station",NA
"200303003009",2003,"Satisfactory","good_station",NA
"200303003010",2003,"Satisfactory","good_station",NA
"200303003011",2003,"Satisfactory","good_station",NA
"200303003012",2003,"Satisfactory","good_station",NA
"200303003013",2003,"Satisfactory","good_station",NA
"200303003014",2003,"Satisfactory","good_station",NA
"200303003015",2003,"Satisfactory","good_station",NA
"200303003016",2003,"Satisfactory","good_station",NA
"200303003017",2003,"Satisfactory","good_station",NA
"200303003018",2003,"Unsatisfactory","good_station",NA
"200303003019",2003,"Satisfactory","good_station",NA
"200303003020",2003,"Satisfactory","good_station",NA
"200803017048",2008,"Unsatisfactory","good_station",NA
"200303003021",2003,"Satisfactory","good_station",NA
"200303003023",2003,"Satisfactory","good_station",NA
"200303003024",2003,"Satisfactory","good_station",NA
"200303003025",2003,"Satisfactory","good_station",NA
"200303003026",2003,"Satisfactory","good_station",NA
"200303003027",2003,"Satisfactory","good_station",NA
"200303003028",2003,"Satisfactory","good_station",NA
"200303003029",2003,"Satisfactory","good_station",NA
"200303003030",2003,"Satisfactory","good_station",NA
"200303003032",2003,"Satisfactory","good_station",NA
"200303003033",2003,"Satisfactory","good_station",NA
"200303003034",2003,"Satisfactory","good_station",NA
"200303003035",2003,"Satisfactory","good_station",NA
"200303003036",2003,"Satisfactory","9498","Outside Survey Extent"
"200303003037",2003,"Satisfactory","good_station",NA
"200303003038",2003,"Satisfactory","good_station",NA
"200303003039",2003,"Satisfactory","good_station",NA
"200303003040",2003,"Satisfactory","good_station",NA
"200303003041",2003,"Satisfactory","good_station",NA
"200303003042",2003,"Satisfactory","good_station",NA
"200303003043",2003,"Satisfactory","good_station",NA
"200803017160",2008,"Unsatisfactory","good_station",NA
"200303003044",2003,"Satisfactory","good_station",NA
"200303003045",2003,"Satisfactory","good_station",NA
"200303003046",2003,"Satisfactory","good_station",NA
"200303003047",2003,"Satisfactory","good_station",NA
"200303003031",2003,"Unsatisfactory","good_station",NA
"200303003048",2003,"Satisfactory","good_station",NA
"200303003049",2003,"Satisfactory","good_station",NA
"200303003050",2003,"Satisfactory","good_station",NA
"200303003051",2003,"Satisfactory","good_station",NA
"200303003052",2003,"Satisfactory","good_station",NA
"200303003053",2003,"Satisfactory","good_station",NA
"200303003054",2003,"Satisfactory","good_station",NA
"200303003055",2003,"Satisfactory","good_station",NA
"200303003056",2003,"Satisfactory","good_station",NA
"200303003057",2003,"Satisfactory","good_station",NA
"200303003058",2003,"Satisfactory","good_station",NA
"200303003059",2003,"Satisfactory","good_station",NA
"200303003060",2003,"Satisfactory","good_station",NA
"200303003061",2003,"Satisfactory","good_station",NA
"200303003062",2003,"Satisfactory","good_station",NA
"200303003063",2003,"Satisfactory","good_station",NA
"200303008043",2003,"Satisfactory","good_station",NA
"200303003064",2003,"Satisfactory","good_station",NA
"200303003065",2003,"Satisfactory","good_station",NA
"200303003066",2003,"Satisfactory","good_station",NA
"200303003067",2003,"Satisfactory","good_station",NA
"200303003068",2003,"Satisfactory","good_station",NA
"200303003069",2003,"Satisfactory","good_station",NA
"200303003070",2003,"Satisfactory","good_station",NA
"201503008002",2015,"Satisfactory","good_station",NA
"200303003072",2003,"Satisfactory","good_station",NA
